Número de documentos(preguntas) del corpus : 757
Número de palabras del corpus: 7605
Palabra: 0 Frec: 5 LogProb: -11.593702350285316
Palabra: 00 Frec: 0 LogProb: -14.178664851006472
Palabra: 000 Frec: 0 LogProb: -14.178664851006472
Palabra: 0000 Frec: 0 LogProb: -14.178664851006472
Palabra: 00237 Frec: 0 LogProb: -14.178664851006472
Palabra: 004 Frec: 0 LogProb: -14.178664851006472
Palabra: 00600 Frec: 0 LogProb: -14.178664851006472
Palabra: 009 Frec: 0 LogProb: -14.178664851006472
Palabra: 00936 Frec: 0 LogProb: -14.178664851006472
Palabra: 01 Frec: 0 LogProb: -14.178664851006472
Palabra: 01031 Frec: 0 LogProb: -14.178664851006472
Palabra: 01654 Frec: 0 LogProb: -14.178664851006472
Palabra: 01722 Frec: 0 LogProb: -14.178664851006472
Palabra: 01775 Frec: 0 LogProb: -14.178664851006472
Palabra: 01830 Frec: 0 LogProb: -14.178664851006472
Palabra: 02 Frec: 0 LogProb: -14.178664851006472
Palabra: 02287e Frec: 0 LogProb: -14.178664851006472
Palabra: 03 Frec: 0 LogProb: -14.178664851006472
Palabra: 04 Frec: 0 LogProb: -14.178664851006472
Palabra: 047 Frec: 0 LogProb: -14.178664851006472
Palabra: 05 Frec: 0 LogProb: -14.178664851006472
Palabra: 07 Frec: 0 LogProb: -14.178664851006472
Palabra: 08 Frec: 3 LogProb: -12.178664851006472
Palabra: 08177 Frec: 0 LogProb: -14.178664851006472
Palabra: 09 Frec: 0 LogProb: -14.178664851006472
Palabra: 0b Frec: 0 LogProb: -14.178664851006472
Palabra: 0kb Frec: 0 LogProb: -14.178664851006472
Palabra: 0m4 Frec: 0 LogProb: -14.178664851006472
Palabra: 0s Frec: 0 LogProb: -14.178664851006472
Palabra: 0x123456789 Frec: 0 LogProb: -14.178664851006472
Palabra: 0x18a15e0 Frec: 0 LogProb: -14.178664851006472
Palabra: 0x80000022 Frec: 0 LogProb: -14.178664851006472
Palabra: 0x80004005 Frec: 0 LogProb: -14.178664851006472
Palabra: 0x8004d024 Frec: 0 LogProb: -14.178664851006472
Palabra: 0x800a03ec Frec: 0 LogProb: -14.178664851006472
Palabra: 1 Frec: 1 LogProb: -13.178664851006472
Palabra: 10 Frec: 0 LogProb: -14.178664851006472
